ticker,name,mode,n_days,first_date,last_date,gaps,apto_modelo,fast_score,grade,vol_annual,autocorr5,trend_r2,error
ABI.BR,AB InBev,stoxx50,1611,2020-01-02,2026-04-16,0,True,50,✓,0.3022068305436557,-0.007681976674443768,0.22937984348532714,
SU.PA,Schneider Electric,stoxx50,1611,2020-01-02,2026-04-16,0,True,30,~,0.30269054529452577,0.055351751760242936,0.8883383375445274,
CS.PA,AXA,stoxx50,1611,2020-01-02,2026-04-16,0,True,43,~,0.26620918758884876,0.09412158395241135,0.9314408896886912,
BTC-USD,Bitcoin,crypto,2298,2020-01-01,2026-04-16,0,True,50,✓,0.5122906758677666,0.004972661902448427,0.6290878508286744,
ETH-USD,Ethereum,crypto,2298,2020-01-01,2026-04-16,0,True,56,✓,0.6850083453273127,-0.03484837392658477,0.44050451144909564,
SOL-USD,Solana,crypto,2198,2020-04-10,2026-04-16,0,True,38,~,1.0007678291950077,-0.020280613560966863,0.5238687748191099,
BNB-USD,BNB,crypto,2298,2020-01-01,2026-04-16,0,True,40,~,0.6899183392995526,-0.030368027830943823,0.6131583431960927,
XRP-USD,XRP,crypto,2298,2020-01-01,2026-04-16,0,True,38,~,0.8399069336785158,0.007422674117932152,0.520359040200371,
AVAX-USD,Avalanche,crypto,2035,2020-07-13,2026-04-16,1,False,46,~,0.9539492044296219,0.006330260619762471,7.301587841013202e-07,
DOGE-USD,Dogecoin,crypto,2298,2020-01-01,2026-04-16,0,True,48,~,1.097733700183032,-0.050839079906555264,0.4250894202502705,
ADA-USD,Cardano,crypto,2298,2020-01-01,2026-04-16,0,True,56,✓,0.821078895374033,-0.030655836284445813,0.10228418105557757,
