Date,Open,High,Low,Close,Volume
2020-01-02,296.4802843719158,297.71738081409677,295.55474819517633,297.69903564453125,59151200
2020-01-03,294.2992479953691,296.5718391025249,294.244268433237,295.4447021484375,77709700
2020-01-06,293.68527154806566,296.65430772190325,293.5661398420069,296.57183837890625,55653900
2020-01-07,296.00370133060426,296.4802282058735,295.28893898289255,295.73797607421875,40496400
2020-01-08,295.9303693680399,298.5328378108533,295.6829613419756,297.3140869140625,68296000
2020-01-09,298.8810690392002,299.40340285238955,298.2945830808425,299.330078125,48473300
2020-01-10,299.9165893357821,300.07235545551816,298.0013931580216,298.4687194824219,53029300
2020-01-13,299.0918681335702,300.5305374400755,298.66117621036113,300.5213928222656,47086800
2020-01-14,300.0815191045464,301.1353314053116,299.50420569698866,300.0632019042969,62832800
2020-01-15,299.9715910397463,301.5019023922084,299.8891216822957,300.7413330078125,72056600
2020-01-16,302.1250773288596,303.2430419921875,301.89598643854816,303.2430419921875,54050300
2020-01-17,303.95779876241374,304.3976353658539,303.17888415689373,304.1868896484375,95846000
2020-01-21,303.2245857910386,304.3975296013269,303.1512890376646,303.59112548828125,77742400
2020-01-22,304.452620782391,305.10325904612256,303.472133024947,303.6278991699219,48914900
2020-01-23,302.9772414486863,304.388448943037,301.85927695982,303.97607421875,51963000
2020-01-24,304.6358627439296,304.7183320973039,299.9807208309427,301.2727966308594,87578400
2020-01-27,296.01285058916926,297.92804662680606,295.6738006255231,296.44354248046875,84062500
2020-01-28,297.8730881255824,300.4297498723814,296.5352053758519,299.550048828125,63834000
2020-01-29,300.9154208540977,301.1445117064484,299.10101123601123,299.3026123046875,53888900
2020-01-30,297.2316834744136,300.4847910291731,296.4802865769708,300.2740173339844,75491800
2020-01-31,299.6508811187989,299.80667522712497,293.9052917226155,294.8216552734375,113845600
2020-02-03,296.306189846828,298.88116944895995,296.18705809868965,297.01177978515625,69083000
2020-02-04,300.63138329314756,302.40913073891045,300.3106504717624,301.53857421875,62573200
2020-02-05,304.48010082486485,305.23152563303483,303.01394154526906,305.020751953125,65951100
2020-02-06,305.9828754447032,306.2394560522641,304.9656976312089,306.0470275878906,50359700
2020-02-07,304.98406488979606,306.056194377022,303.86610045474913,304.4159240722656,64139400
2020-02-10,303.52707001498,306.7526592320417,303.4904076474018,306.6885070800781,42070000
2020-02-11,308.0446920849093,308.8327511042264,306.68846432551175,307.219970703125,54864500
2020-02-12,308.65866182227705,309.41008649783373,308.292122067066,309.1993408203125,43992700
2020-02-13,307.7697377153026,309.8407275418291,307.4948399353151,308.869384765625,54501900
