Ticker,Score,Grado,Vol. anual,Autocorr 5d,Tendencia R²,Sil. avg,Rev. score,WR +10d,Sharpe est.,Sharpe B&H,Días,Error
HSY,71,✓✓,26.3%,-0.009,0.03,—,—,—,—,—,2079,
CAG,71,✓✓,26.3%,-0.009,0.03,—,—,—,—,—,2079,
MKC,71,✓✓,26.3%,-0.009,0.03,—,—,—,—,—,2079,
SJM,71,✓✓,26.3%,-0.009,0.03,—,—,—,—,—,2079,
SO,71,✓✓,25.1%,+0.001,0.34,—,—,—,—,—,2079,
DUK,71,✓✓,25.1%,+0.001,0.34,—,—,—,—,—,2079,
AEP,71,✓✓,25.1%,+0.001,0.34,—,—,—,—,—,2079,
D,71,✓✓,25.1%,+0.001,0.34,—,—,—,—,—,2079,
PEG,71,✓✓,27.5%,+0.008,0.03,—,—,—,—,—,2079,
XEL,71,✓✓,27.5%,+0.008,0.03,—,—,—,—,—,2079,
SRE,71,✓✓,27.5%,+0.008,0.03,—,—,—,—,—,2079,
EXC,71,✓✓,27.5%,+0.008,0.03,—,—,—,—,—,2079,
ACN,71,✓✓,25.4%,+0.014,0.01,—,—,—,—,—,2079,
QCOM,71,✓✓,25.4%,+0.014,0.01,—,—,—,—,—,2079,
ADI,71,✓✓,25.4%,+0.014,0.01,—,—,—,—,—,2079,
NVDA,71,✓✓,25.4%,+0.014,0.01,—,—,—,—,—,2079,
MO,63,✓ ,23.8%,+0.029,0.68,—,—,—,—,—,2079,
PM,63,✓ ,23.8%,+0.029,0.68,—,—,—,—,—,2079,
BTI,63,✓ ,23.8%,+0.029,0.68,—,—,—,—,—,2079,
NEE,63,✓ ,23.8%,+0.029,0.68,—,—,—,—,—,2079,
PPL,63,✓ ,25.4%,+0.088,0.11,—,—,—,—,—,2079,
ETR,63,✓ ,25.4%,+0.088,0.11,—,—,—,—,—,2079,
ES,63,✓ ,25.4%,+0.088,0.11,—,—,—,—,—,2079,
WEC,63,✓ ,25.4%,+0.088,0.11,—,—,—,—,—,2079,
MRK,63,✓ ,24.0%,+0.007,0.61,—,—,—,—,—,2079,
PFE,63,✓ ,24.9%,+0.044,0.45,—,—,—,—,—,2079,
ABBV,63,✓ ,24.9%,+0.044,0.45,—,—,—,—,—,2079,
MDT,63,✓ ,24.9%,+0.044,0.45,—,—,—,—,—,2079,
BMY,63,✓ ,24.9%,+0.044,0.45,—,—,—,—,—,2079,
JPM,63,✓ ,22.9%,+0.028,0.66,—,—,—,—,—,2079,
WFC,63,✓ ,22.9%,+0.028,0.66,—,—,—,—,—,2079,
AXP,63,✓ ,22.9%,+0.028,0.66,—,—,—,—,—,2079,
BAC,63,✓ ,22.9%,+0.028,0.66,—,—,—,—,—,2079,
ITW,63,✓ ,25.9%,+0.041,0.08,—,—,—,—,—,2079,
GWW,63,✓ ,25.9%,+0.041,0.08,—,—,—,—,—,2079,
DOV,63,✓ ,25.9%,+0.041,0.08,—,—,—,—,—,2079,
